data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
09/01/2017 00:00;03:15:00.0000000;22;MASCULINO;CONDUTOR;R SAIBREIRA;QUEDA;0;0;0;0;0;0;1;0;0;0;0;SEGUNDA-FEIRA;MADRUGADA;18 A 25;MOTOCICLETA
10/01/2017 00:00;17:30:00.0000000;38;FEMININO;PEDESTRE;AV BENTO GONCALVES;ATROPELAMENTO;0;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;TARDE;36 A 45;NENHUM
10/01/2017 00:00;20:15:00.0000000;19;MASCULINO;CONDUTOR;AV DA CAVALHADA;ABALROAMENTO;2;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;NOITE;18 A 25;MOTOCICLETA
10/01/2017 00:00;20:15:00.0000000;24;FEMININO;OCUPANTE;AV DA CAVALHADA;ABALROAMENTO;2;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;NOITE;18 A 25;MOTOCICLETA
10/01/2017 00:00;15:45:00.0000000;35;MASCULINO;CONDUTOR;AV DIARIO DE NOTICIAS;ABALROAMENTO;1;0;0;0;0;0;0;0;1;0;0;TERCA-FEIRA;TARDE;26 A 35;BICICLETA
10/01/2017 00:00;17:50:00.0000000;15;MASCULINO;CONDUTOR;AV JUCA BATISTA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;TARDE;11 A 17;MOTOCICLETA
10/01/2017 00:00;18:30:00.0000000;25;MASCULINO;CONDUTOR;AV RODRIGUES DA FONSECA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;NOITE;18 A 25;MOTOCICLETA
10/01/2017 00:00;15:57:00.0000000;36;MASCULINO;CONDUTOR;AV SERTORIO;ABALROAMENTO;2;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;TARDE;36 A 45;MOTOCICLETA
10/01/2017 00:00;20:40:00.0000000;84;MASCULINO;CONDUTOR;AV SERTORIO;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;TERCA-FEIRA;NOITE;60 +;AUTOMOVEL
10/01/2017 00:00;10:30:00.0000000;54;MASCULINO;CONDUTOR;R BARAO DE ITAQUI;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;MANHA;46 A 59;MOTOCICLETA
10/01/2017 00:00;07:30:00.0000000;35;MASCULINO;CONDUTOR;R CRISTOVAO PEREIRA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;TERCA-FEIRA;MANHA;26 A 35;MOTOCICLETA
10/01/2017 00:00;14:03:00.0000000;39;MASCULINO;CONDUTOR;R DR JOAO INACIO;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;TERCA-FEIRA;TARDE;36 A 45;AUTOMOVEL
11/01/2017 00:00;13:11:00.0000000;24;MASCULINO;CONDUTOR;AV ASSIS BRASIL;COLISAO;0;0;0;0;0;1;1;0;0;0;0;QUARTA-FEIRA;TARDE;18 A 25;MOTOCICLETA
11/01/2017 00:00;12:50:00.0000000;40;FEMININO;CONDUTOR;AV BENTO GONCALVES;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;QUARTA-FEIRA;TARDE;36 A 45;AUTOMOVEL
11/01/2017 00:00;13:30:00.0000000;21;FEMININO;OCUPANTE;AV ERICO VERISSIMO;ABALROAMENTO;0;0;1;0;0;0;1;0;0;0;0;QUARTA-FEIRA;TARDE;18 A 25;MOTOCICLETA
11/01/2017 00:00;13:30:00.0000000;21;MASCULINO;CONDUTOR;AV ERICO VERISSIMO;ABALROAMENTO;0;0;1;0;0;0;1;0;0;0;0;QUARTA-FEIRA;TARDE;18 A 25;MOTOCICLETA
11/01/2017 00:00;14:00:00.0000000;27;MASCULINO;CONDUTOR;AV IPIRANGA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUARTA-FEIRA;TARDE;26 A 35;MOTOCICLETA
11/01/2017 00:00;12:11:00.0000000;56;MASCULINO;CONDUTOR;AV JUCA BATISTA;ABALROAMENTO;1;0;0;0;0;0;0;0;1;0;0;QUARTA-FEIRA;TARDE;46 A 59;BICICLETA
11/01/2017 00:00;18:10:00.0000000;25;MASCULINO;CONDUTOR;AV OSVALDO ARANHA;ABALROAMENTO;1;0;0;0;0;0;0;0;1;0;0;QUARTA-FEIRA;NOITE;18 A 25;BICICLETA
11/01/2017 00:00;19:00:00.0000000;25;FEMININO;OCUPANTE;AV PROTASIO ALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUARTA-FEIRA;NOITE;18 A 25;MOTOCICLETA
11/01/2017 00:00;19:00:00.0000000;27;MASCULINO;CONDUTOR;AV PROTASIO ALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUARTA-FEIRA;NOITE;26 A 35;MOTOCICLETA
11/01/2017 00:00;16:30:00.0000000;28;MASCULINO;CONDUTOR;ESTR JOAO DE OLIVEIRA REMIAO;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUARTA-FEIRA;TARDE;26 A 35;MOTOCICLETA
